code,name,yf_ticker
2413,エムスリー,
2914,日本たばこ産業（JT）,
3962,チェンジホールディングス,
4063,信越化学工業,
4434,サーバーワークス,
4516,日本新薬,
4536,参天製薬,
4552,JCRファーマ,
4568,第一三共,
4661,オリエンタルランド,
4689,LINEヤフー,
4901,富士フイルムホールディングス,
5411,JFEホールディングス,
6501,日立製作所,
6702,富士通,
6754,アンリツ,
6965,浜松ホトニクス,
7182,ゆうちょ銀行,
8002,丸紅,
8031,三井物産,
8035,東京エレクトロン,
8058,三菱商事,
8233,高島屋,
8306,三菱UFJフィナンシャル・グループ,
8316,三井住友フィナンシャルグループ,
8473,SBIホールディングス,
8593,三菱HCキャピタル,
9022,東海旅客鉄道（JR東海）,
9104,商船三井,
9432,日本電信電話（NTT）,
9697,カプコン,
9984,ソフトバンクグループ,
9843,ニトリホールディングス,
6981,村田製作所,
8359,八十二銀行,
7011,三菱重工業,
5802,住友電気工業,
9201,日本航空（JAL）,
5831,しずおかフィナンシャルグループ,
6902,デンソー,
7203,トヨタ自動車,
6758,ソニーグループ,
285A,キオクシアホールディングス,
